so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
   ,(|( 	11/17S   	1408/1377                  	[   7  -4   0   0   1   0  -1 ⟩                                                                                                	 38.543	 -6.373      	 17    	 28          	 58.870
   ,'|( 	1/1225k  	19683/19600                	[  -4   9  -2  -2 ⟩                                                                                                            	  7.316	  8.550      	  7    	 24          	 59.549
    ,|~ 	1225C    	33075/32768                	[ -15   3   2   2 ⟩                                                                                                            	 16.144	  2.006      	  7    	 24          	 59.549
        	1225S    	17577411075/17179869184    	[ -34  15   2   2 ⟩                                                                                                            	 39.604	 12.561      	  7    	 24          	 59.549
    `|~ 	1/169C   	512/507                    	[   9  -1   0   0   0  -2 ⟩                                                                                                    	 16.990	 -2.046      	 13    	 26          	 61.028
        	1/169S   	177147/173056              	[ -10  11   0   0   0  -2 ⟩                                                                                                    	 40.450	  8.509      	 13    	 26          	 61.028
        	169k     	269440587/268435456        	[ -28  13   0   0   0   2 ⟩                                                                                                    	  6.470	 12.602      	 13    	 26          	 61.028
        	121/5C   	121/120                    	[  -3  -1  -1   0   2 ⟩                                                                                                        	 14.367	 -1.885      	 11    	 27          	 61.620
        	121/5S   	21434787/20971520          	[ -22  11  -1   0   2 ⟩                                                                                                        	 37.827	  8.671      	 11    	 27          	 61.620
        	5/121k   	7971615/7929856            	[ -16  13   1   0  -2 ⟩                                                                                                        	  9.093	 12.440      	 11    	 27          	 61.620
,,)//|  	77/25M   	77/75                      	[   0  -1  -2   1   1 ⟩                                                                                                        	 45.561	 -3.805      	 11    	 28          	 65.355
        	25/77S   	6400/6237                  	[   8  -4   2  -1  -1 ⟩                                                                                                        	 44.664	 -6.750      	 11    	 28          	 65.355
        	125/49C  	4000/3969                  	[   5  -4   3  -2 ⟩                                                                                                            	 13.469	 -4.829      	  7    	 29          	 66.165
        	125/49S  	820125/802816              	[ -14   8   3  -2 ⟩                                                                                                            	 36.929	  5.726      	  7    	 29          	 66.165
        	17/25k   	4456448/4428675            	[  18 -11  -2   0   0   0   1 ⟩                                                                                                	 10.823	-11.666      	 17    	 27          	 66.898
  ``(|  	17/25S   	51/50                      	[  -1   1  -2   0   0   0   1 ⟩                                                                                                	 34.283	 -1.111      	 17    	 27          	 66.898
        	25/17M   	12800/12393                	[   9  -6   2   0   0   0  -1 ⟩                                                                                                	 55.942	 -9.445      	 17    	 27          	 66.898
        	23/7S    	47104/45927                	[  11  -8   0  -1   0   0   0   0   1 ⟩                                                                                        	 43.808	-10.697      	 23    	 30          	 68.574
        	7/23C    	458752/452709              	[  16  -9   0   1   0   0   0   0  -1 ⟩                                                                                        	 22.957	-10.414      	 23    	 30          	 68.574
        	7/23M    	189/184                    	[  -3   3   0   1   0   0   0   0  -1 ⟩                                                                                        	 46.417	  0.142      	 23    	 30          	 68.574
        	17/13M   	1088/1053                  	[   6  -4   0   0   0  -1   1 ⟩                                                                                                	 56.608	 -7.486      	 17    	 30          	 69.574
        	13/17k   	27262976/27103491          	[  21 -13   0   0   0   1  -1 ⟩                                                                                                	 10.157	-13.625      	 17    	 30          	 69.574
   `(|  	13/17S   	52/51                      	[   2  -1   0   0   0   1  -1 ⟩                                                                                                	 33.617	 -3.070      	 17    	 30          	 69.574
        	11/125s  	8019/8000                  	[  -6   6  -3   0   1 ⟩                                                                                                        	  4.107	  5.747      	 11    	 26          	 70.023
        	125/11C  	91125/90112                	[ -13   6   3   0  -1 ⟩                                                                                                        	 19.353	  4.808      	 11    	 26          	 70.023
        	1/133C   	32768/32319                	[  15  -5   0  -1   0   0   0  -1 ⟩                                                                                            	 23.886	 -6.471      	 19    	 26          	 70.194
        	1/133M   	2187/2128                  	[  -4   7   0  -1   0   0   0  -1 ⟩                                                                                            	 47.346	  4.085      	 19    	 26          	 70.194
        	7/625C   	458752/455625              	[  16  -6  -4   1 ⟩                                                                                                            	 11.841	 -6.729      	  7    	 27          	 70.891
        	7/625S   	5103/5000                  	[  -3   6  -4   1 ⟩                                                                                                            	 35.301	  3.826      	  7    	 27          	 70.891
        	1/115k   	59049/58880                	[  -9  10  -1   0   0   0   0   0  -1 ⟩                                                                                        	  4.962	  9.694      	 23    	 28          	 73.472
        	115C     	1035/1024                  	[ -10   2   1   0   0   0   0   0   1 ⟩                                                                                        	 18.498	  0.861      	 23    	 28          	 73.472
        	115S     	550041435/536870912        	[ -29  14   1   0   0   0   0   0   1 ⟩                                                                                        	 41.958	 11.416      	 23    	 28          	 73.472
        	19/11S   	304/297                    	[   4  -3   0   0  -1   0   0   1 ⟩                                                                                            	 40.330	 -5.483      	 19    	 30          	 73.537
    (|~ 	11/19M   	176/171                    	[   4  -2   0   0   1   0   0  -1 ⟩                                                                                            	 49.895	 -5.072      	 19    	 30          	 73.537
        	1/37S    	1024/999                   	[  10  -3   0   0   0   0   0   0   0   0   0  -1 ⟩                                                                            	 42.791	 -5.635      	 37    	 37          	 76.056
