2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{1235/11}₂,₃   	1194.977	                          	        	1171.5	-      	0
{2717/5}₂,₃    	1194.977	                          	        	1171.5	604.5  	1
{53/23}₂,₃     	1196.426	                          	        	1174  	-      	0
{6125/13}₂,₃   	1198.061	                          	        	1175  	-      	0
{77/41}₂,₃     	1198.491	                          	        	1177  	217.5  	4
{287/11}₂,₃    	1198.491	                          	        	1177  	-      	0
{451/7}₂,₃     	1198.491	                          	        	1177  	-      	0
{8575/11}₂,₃   	1200.897	                          	        	1179  	-      	0
{245/187}₂,₃   	1201.937	                          	        	1181.5	-      	0
{539/85}₂,₃    	1201.937	                          	        	1181.5	-      	0
{833/55}₂,₃    	1201.937	                          	        	1181.5	-      	0
{935/49}₂,₃    	1201.937	                          	        	1181.5	-      	0
{95/37}₂,₃     	1204.213	                          	        	1185  	-      	0
{185/19}₂,₃    	1204.213	                          	        	1185  	-      	0
{703/5}₂,₃     	1204.213	                          	        	1185  	-      	0
{305/7}₂,₃     	1205.880	                          	        	1187.5	-      	0
{427/5}₂,₃     	1205.880	                          	        	1187.5	-      	0
{1475}₂,₃      	1208.681	                          	        	1189  	-      	0
{247/23}₂,₃    	1209.843	                          	        	1191  	-      	0
{299/19}₂,₃    	1209.843	                          	        	1191  	-      	0
{437/13}₂,₃    	1209.843	                          	        	1191  	-      	0
{553}₂,₃       	1213.528	                          	        	1193  	-      	0
{71/13}₂,₃     	1213.574	                          	        	1194  	604.5  	1
{10285}₂,₃     	1214.201	                          	        	1195  	604.5  	1
{2821}₂,₃      	1214.597	                          	        	1196  	-      	0
{625/29}₂,₃    	1216.725	                          	        	1197  	-      	0
{625/133}₂,₃   	1218.654	                          	        	1198  	-      	0
{97/7}₂,₃      	1219.685	                          	        	1199  	147    	7
{89/25}₂,₃     	1222.377	                          	        	1200  	-      	0
{275/31}₂,₃    	1223.495	                          	        	1201.5	-      	0
{775/11}₂,₃    	1223.495	                          	        	1201.5	-      	0
{59/19}₂,₃     	1224.796	                          	        	1203  	-      	0
{20825}₂,₃     	1229.253	                          	        	1204  	-      	0
{221/95}₂,₃    	1231.188	                          	        	1206  	-      	0
{247/85}₂,₃    	1231.188	                          	        	1206  	-      	0
{323/65}₂,₃    	1231.188	                          	        	1206  	-      	0
{259/125}₂,₃   	1232.382	                          	        	1208  	-      	0
{551/25}₂,₃    	1232.948	                          	        	1209  	-      	0
{149}₂,₃       	1233.389	                          	        	1210  	186.5  	5
{361/175}₂,₃   	1234.902	                          	        	1211  	-      	0
{2405}₂,₃      	1235.903	                          	        	1212  	-      	0
{299/175}₂,₃   	1238.143	                          	        	1213  	-      	0
{289/245}₂,₃   	1238.359	                          	        	1214  	-      	0
{4693}₂,₃      	1238.431	                          	        	1215  	-      	0
{529/11}₂,₃    	1239.231	                          	        	1216  	-      	0
{3887}₂,₃      	1241.681	                          	        	1217  	-      	0
{8281/5}₂,₃    	1245.984	                          	        	1218  	-      	0
{1445/11}₂,₃   	1250.995	                          	        	1219.5	-      	0
{3179/5}₂,₃    	1250.995	                          	        	1219.5	-      	0
{161/29}₂,₃    	1253.713	                          	        	1222  	-      	0
{203/23}₂,₃    	1253.713	                          	        	1222  	-      	0
{667/7}₂,₃     	1253.713	                          	        	1222  	-      	0
{875/143}₂,₃   	1255.112	                          	        	1225  	-      	0
{1375/91}₂,₃   	1255.112	                          	        	1225  	-      	0
{1625/77}₂,₃   	1255.112	                          	        	1225  	-      	0
{767}₂,₃       	1257.028	                          	        	1227  	-      	0
{1225/121}₂,₃  	1258.083	                          	        	1229  	-      	0
{3025/49}₂,₃   	1258.083	                          	        	1229  	-      	0
{5929/25}₂,₃   	1258.083	                          	        	1229  	-      	0
{2107}₂,₃      	1258.347	                          	        	1231  	-      	0
{7889}₂,₃      	1260.049	                          	        	1232  	-      	0
{527/25}₂,₃    	1260.571	                          	        	1233  	-      	0
{61/55}₂,₃     	1263.302	                          	        	1234  	-      	0
{325/29}₂,₃    	1265.394	                          	        	1235.5	-      	0
{725/13}₂,₃    	1265.394	                          	        	1235.5	-      	0
{151}₂,₃       	1266.722	                          	        	1237  	-      	0
{43/37}₂,₃     	1266.907	                          	        	1238  	329    	2
{325/133}₂,₃   	1267.400	                          	        	1240  	-      	0
{475/91}₂,₃    	1267.400	                          	        	1240  	-      	0
{1729/25}₂,₃   	1267.400	                          	        	1240  	-      	0
{2945}₂,₃      	1267.986	                          	        	1242  	-      	0
{47/31}₂,₃     	1268.130	                          	        	1243  	329    	2
{33275}₂,₃     	1270.920	                          	        	1244  	-      	0
{205/49}₂,₃    	1271.127	                          	        	1245  	-      	0
{79/11}₂,₃     	1271.315	                          	        	1246  	217.5  	4
{143/31}₂,₃    	1272.435	                          	        	1248  	-      	0
{341/13}₂,₃    	1272.435	                          	        	1248  	-      	0
{403/11}₂,₃    	1272.435	                          	        	1248  	-      	0
{425/343}₂,₃   	1274.781	                          	        	1250  	-      	0
{125/47}₂,₃    	1278.356	                          	        	1251  	-      	0
{10829}₂,₃     	1278.424	                          	        	1252  	-      	0
{73/13}₂,₃     	1282.907	                          	        	1253  	604.5  	1
{56875}₂,₃     	1283.637	                          	        	1254  	-      	0
{2255}₂,₃      	1284.097	                          	        	1255  	-      	0
{67375}₂,₃     	1286.675	                          	        	1256  	-      	0
{1925/17}₂,₃   	1287.789	                          	        	1258  	-      	0
{2975/11}₂,₃   	1287.789	                          	        	1258  	-      	0
{4675/7}₂,₃    	1287.789	                          	        	1258  	-      	0
{145/31}₂,₃    	1290.231	                          	        	1261  	-      	0
{155/29}₂,₃    	1290.231	                          	        	1261  	-      	0
{899/5}₂,₃     	1290.231	                          	        	1261  	-      	0
{1525}₂,₃      	1292.014	                          	        	1263  	-      	0
{437/125}₂,₃   	1292.567	                          	        	1264  	-      	0
{214375}₂,₃    	1302.626	                          	        	1265  	-      	0
{385/169}₂,₃   	1305.316	                          	        	1267.5	604.5  	1
{845/77}₂,₃    	1305.316	                          	        	1267.5	-      	0
{1183/55}₂,₃   	1305.316	                          	        	1267.5	-      	0
{1859/35}₂,₃   	1305.316	                          	        	1267.5	-      	0
{3125/19}₂,₃   	1305.700	                          	        	1270  	-      	0
