2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{47/7}₂,₃      	286.352 	                          	        	279   	252.5  	3
{3185}₂,₃      	287.535 	                          	        	280   	-      	0
{3773}₂,₃      	288.215 	                          	        	281   	-      	0
{221/25}₂,₃    	289.892 	                          	        	282   	-      	0
{12005}₂,₃     	291.788 	                          	        	283   	186.5  	5
{725}₂,₃       	292.014 	                          	        	284   	-      	0
{175/19}₂,₃    	292.477 	                          	        	285.5 	-      	0
{475/7}₂,₃     	292.477 	                          	        	285.5 	-      	0
{341}₂,₃       	293.639 	                          	        	287   	604.5  	1
{37/35}₂,₃     	295.772 	                          	        	288   	329    	2
{29/19}₂,₃     	295.907 	                          	        	289   	147    	7
{73}₂,₃        	296.056 	                          	        	290   	217.5  	4
{385/13}₂,₃    	301.227 	                          	        	292.5 	329    	2
{455/11}₂,₃    	301.227 	                          	        	292.5 	329    	2
{715/7}₂,₃     	301.227 	                          	        	292.5 	252.5  	3
{1001/5}₂,₃    	301.227 	                          	        	292.5 	164    	6
{31/17}₂,₃     	302.537 	                          	        	295   	81     	16
{377}₂,₃       	303.694 	                          	        	296   	-      	0
{91/19}₂,₃     	304.176 	                          	        	298   	-      	0
{133/13}₂,₃    	304.176 	                          	        	298   	-      	0
{247/7}₂,₃     	304.176 	  ,'(|                    	6       	298   	252.5  	3
{125/23}₂,₃    	306.134 	   ,(|                    	6       	300   	604.5  	1
{209/25}₂,₃    	306.404 	                          	        	301   	-      	0
{235}₂,₃       	306.806 	                          	        	302   	-      	0
{1309}₂,₃      	309.069 	                          	        	303   	-      	0
{35/31}₂,₃     	311.435 	                          	        	305   	329    	2
{155/7}₂,₃     	311.435 	                          	        	305   	-      	0
{217/5}₂,₃     	311.435 	                          	        	305   	-      	0
{2375}₂,₃      	313.368 	                          	        	307   	86     	14
{121/65}₂,₃    	315.571 	                          	        	308   	604.5  	1
{361/5}₂,₃     	317.546 	                          	        	309   	-      	0
{65/23}₂,₃     	318.380 	                          	        	311   	329    	2
{115/13}₂,₃    	318.380 	                          	        	311   	604.5  	1
{299/5}₂,₃     	318.380 	                          	        	311   	-      	0
{289/7}₂,₃     	318.435 	                          	        	313   	-      	0
{325/49}₂,₃    	319.483 	                          	        	314.5 	-      	0
{637/25}₂,₃    	319.483 	                          	        	314.5 	-      	0
{343/55}₂,₃    	320.239 	                          	        	316   	604.5  	1
{59/5}₂,₃      	322.315 	                          	        	317   	217.5  	4
{3575}₂,₃      	322.743 	                          	        	318   	-      	0
{4235}₂,₃      	323.507 	                          	        	319   	186.5  	5
{121/17}₂,₃    	323.787 	                          	        	320   	604.5  	1
{2401/25}₂,₃   	324.209 	                          	        	321   	329    	2
{133/125}₂,₃   	324.974 	                          	        	322   	604.5  	1
{1235}₂,₃      	325.903 	                          	        	323   	-      	0
{287}₂,₃       	326.861 	                          	        	324   	-      	0
{245/17}₂,₃    	327.801 	                          	        	325.5 	604.5  	1
{833/5}₂,₃     	327.801 	                          	        	325.5 	-      	0
{37/13}₂,₃     	329.574 	                          	        	327   	90     	13
{169/49}₂,₃    	332.262 	                          	        	328   	604.5  	1
{775}₂,₃       	333.681 	                          	        	329   	604.5  	1
{1859}₂,₃      	335.653 	                          	        	330   	604.5  	1
{529}₂,₃       	337.972 	                          	        	331   	-      	0
{31/19}₂,₃     	338.130 	                          	        	332   	147    	7
{1331/5}₂,₃    	338.912 	                          	        	333   	-      	0
{78125}₂,₃     	339.084 	                          	        	334   	90     	13
{47/25}₂,₃     	340.895 	                          	        	335   	113    	10
{1445}₂,₃      	341.181 	                          	        	336   	604.5  	1
{875/13}₂,₃    	342.303 	                          	        	337.5 	-      	0
{1625/7}₂,₃    	342.303 	                          	        	337.5 	-      	0
{41/11}₂,₃     	342.426 	                          	        	339   	217.5  	4
{1225/11}₂,₃   	343.113 	                          	        	340   	217.5  	4
{85/77}₂,₃     	343.410 	                          	        	342   	-      	0
{119/55}₂,₃    	343.410 	                          	        	342   	-      	0
{187/35}₂,₃    	343.410 	                          	        	342   	604.5  	1
{61/5}₂,₃      	344.537 	                          	        	344   	147    	7
{79}₂,₃        	346.722 	                          	        	345   	329    	2
{403}₂,₃       	347.028 	                          	        	346   	-      	0
{2975}₂,₃      	351.215 	                          	        	347   	-      	0
{845/7}₂,₃     	355.995 	                          	        	348.5 	-      	0
{1183/5}₂,₃    	355.995 	                          	        	348.5 	604.5  	1
{29/23}₂,₃     	358.204 	                          	        	350   	252.5  	3
{175/121}₂,₃   	359.452 	                          	        	351.5 	-      	0
{847/25}₂,₃    	359.452 	                          	        	351.5 	-      	0
{301}₂,₃       	359.528 	                          	        	353   	-      	0
{1127}₂,₃      	360.014 	                          	        	354   	-      	0
{247/25}₂,₃    	362.114 	                          	        	355   	-      	0
{41/35}₂,₃     	363.179 	                          	        	356   	-      	0
{53/7}₂,₃      	364.130 	                          	        	357   	604.5  	1
{1547}₂,₃      	365.264 	                          	        	358   	-      	0
{8125}₂,₃      	366.753 	                          	        	359   	-      	0
{9625}₂,₃      	367.622 	                          	        	360   	-      	0
{275/17}₂,₃    	367.940 	                          	        	361.5 	-      	0
{425/11}₂,₃    	367.940 	                          	        	361.5 	-      	0
{30625}₂,₃     	372.179 	                          	        	363   	329    	2
{169/55}₂,₃    	372.948 	                          	        	364   	-      	0
{43/11}₂,₃     	376.648 	                          	        	365   	83     	15
{77/23}₂,₃     	377.157 	                          	        	367   	-      	0
{161/11}₂,₃    	377.157 	                          	        	367   	-      	0
{253/7}₂,₃     	377.157 	                          	        	367   	-      	0
{289/25}₂,₃    	379.090 	                          	        	369   	-      	0
{539/125}₂,₃   	381.237 	                          	        	370   	-      	0
{4225}₂,₃      	381.424 	                          	        	371   	-      	0
{49/29}₂,₃     	381.565 	                          	        	372   	604.5  	1
{143/17}₂,₃    	382.657 	                          	        	374   	-      	0
{187/13}₂,₃    	382.657 	                          	        	374   	-      	0
{221/11}₂,₃    	382.657 	                          	        	374   	-      	0
{83}₂,₃        	382.722 	                          	        	376   	164    	6
{625/343}₂,₃   	385.963 	                          	        	377   	252.5  	3
{1463}₂,₃      	386.069 	                          	        	378   	-      	0
{265}₂,₃       	390.139 	                          	        	379   	-      	0
{125/119}₂,₃   	390.239 	                          	        	380   	-      	0
{2197}₂,₃      	396.681 	                          	        	381   	604.5  	1
{493}₂,₃       	397.139 	                          	        	382   	-      	0
{119/19}₂,₃    	397.769 	                          	        	384   	-      	0
{133/17}₂,₃    	397.769 	                          	        	384   	-      	0
{323/7}₂,₃     	397.769 	                          	        	384   	329    	2
{43/35}₂,₃     	399.475 	                          	        	386   	-      	0
{115/49}₂,₃    	400.015 	                          	        	387   	-      	0
{4459}₂,₃      	402.549 	                          	        	388   	-      	0
{1265}₂,₃      	404.097 	                          	        	389   	-      	0
{121/19}₂,₃    	404.454 	                          	        	390   	604.5  	1
{41/13}₂,₃     	404.685 	                          	        	391   	217.5  	4
{91/85}₂,₃     	405.849 	                          	        	393   	-      	0
{119/65}₂,₃    	405.849 	                          	        	393   	-      	0
{221/35}₂,₃    	405.849 	                          	        	393   	604.5  	1
{625/77}₂,₃    	408.468 	                          	        	395   	-      	0
{16807}₂,₃     	408.503 	                          	        	396   	113    	10
{1015}₂,₃      	408.819 	                          	        	397   	-      	0
{187/125}₂,₃   	408.822 	                          	        	398   	-      	0
{31/23}₂,₃     	409.315 	                          	        	399   	86     	14
{245/19}₂,₃    	409.468 	                          	        	400.5 	-      	0
{931/5}₂,₃     	409.468 	                          	        	400.5 	-      	0
{3125/49}₂,₃   	413.532 	                          	        	402   	164    	6
{67/5}₂,₃      	415.648 	                          	        	403   	217.5  	4
{85/23}₂,₃     	416.343 	                          	        	405   	-      	0
{115/17}₂,₃    	416.343 	                          	        	405   	-      	0
{391/5}₂,₃     	416.343 	                          	        	405   	604.5  	1
{625/17}₂,₃    	418.113 	                          	        	407   	-      	0
{407}₂,₃       	418.306 	                          	        	408   	-      	0
